Freq.	V(vout)
Step Information: Rc=100  (Run: 1/18)
3.24900958542496e+001	(-1.19136126280095e+001dB,-1.78156727982199e+002°)
3.27160823423114e+001	(-1.19135526202025e+001dB,-1.78169452290175e+002°)
3.29436406907031e+001	(-1.19134934377294e+001dB,-1.78182088877035e+002°)
3.31727818325778e+001	(-1.19134350692493e+001dB,-1.78194638345275e+002°)
3.34035167771350e+001	(-1.19133775035770e+001dB,-1.78207101293192e+002°)
3.36358566101488e+001	(-1.19133207296819e+001dB,-1.78219478315001e+002°)
3.38698124945013e+001	(-1.19132647366824e+001dB,-1.78231770001083e+002°)
3.41053956707185e+001	(-1.19132095138493e+001dB,-1.78243976937535e+002°)
3.43426174575103e+001	(-1.19131550505965e+001dB,-1.78256099706773e+002°)
3.45814892523148e+001	(-1.19131013364876e+001dB,-1.78268138886935e+002°)
3.48220225318452e+001	(-1.19130483612268e+001dB,-1.78280095052481e+002°)
3.50642288526416e+001	(-1.19129961146587e+001dB,-1.78291968773839e+002°)
3.53081198516264e+001	(-1.19129445867695e+001dB,-1.78303760617643e+002°)
3.55537072466630e+001	(-1.19128937676812e+001dB,-1.78315471146532e+002°)
3.58010028371191e+001	(-1.19128436476524e+001dB,-1.78327100919502e+002°)
3.60500185044334e+001	(-1.19127942170744e+001dB,-1.78338650491561e+002°)
3.63007662126867e+001	(-1.19127454664713e+001dB,-1.78350120414134e+002°)
3.65532580091762e+001	(-1.19126973864961e+001dB,-1.78361511234667e+002°)
3.68075060249952e+001	(-1.19126499679316e+001dB,-1.78372823497087e+002°)
3.70635224756151e+001	(-1.19126032016848e+001dB,-1.78384057741515e+002°)
3.73213196614725e+001	(-1.19125570787900e+001dB,-1.78395214504392e+002°)
3.75809099685607e+001	(-1.19125115904032e+001dB,-1.78406294318477e+002°)
3.78423058690241e+001	(-1.19124667278024e+001dB,-1.78417297712961e+002°)
3.81055199217578e+001	(-1.19124224823844e+001dB,-1.78428225213495e+002°)
3.83705647730108e+001	(-1.19123788456645e+001dB,-1.78439077341955e+002°)
3.86374531569941e+001	(-1.19123358092751e+001dB,-1.78449854616796e+002°)
3.89061978964917e+001	(-1.19122933649634e+001dB,-1.78460557552891e+002°)
3.91768119034774e+001	(-1.19122515045885e+001dB,-1.78471186661670e+002°)
3.94493081797347e+001	(-1.19122102201228e+001dB,-1.78481742450917e+002°)
